Fecha;Temperatura condensador (°C);Temperatura salida licor intercambiador (°F);Temperatura licor pierna separador (°C);Temperatura de licor pesado salida preenfriador (°C);Presión de vapor calderas (psi);Presión en bomba de vacío (in Hg)
1/2/2020 12:01 PM;58;186;58,7;41;110;20,2
1/2/2020 3:00 PM;59;198;60;42;100;22
1/2/2020 7:00 PM;60;198;60;43;100;22
1/2/2020 11:00 PM;62;198;63;41;90;20
1/3/2020 5:00 AM;59;192;60;41;115;20
1/3/2020 10:17 AM;55;180;55,5;41;105;21,2
1/3/2020 11:14 AM;52;156;52,8;38;110;21,2
1/3/2020 3:00 PM;60;200;61;41;110;22
1/3/2020 7:00 PM;55;168;56;42;110;22
1/4/2020 2:03 AM;55;182;56;41;112;21,2
1/4/2020 7:00 AM;56;178;55;42;110;22
1/4/2020 11:00 AM;59;190;60;38;100;21
1/4/2020 10:28 AM;51;158;51,9;42;108;20,6
1/5/2020 1:56 AM;55;162;55;40;110;20
1/5/2020 7:00 AM;55;168;56;38;100;20
1/5/2020 10:28 AM;54;170;55,3;42;98;20
1/5/2020 8:30 PM;53;168;54;41;110;20
1/6/2020 1:57 AM;50;168;51,4;41;112;21
1/6/2020 7:00 AM;54;168;55;40;100;20
1/6/2020 11:00 AM;54;164;54;40;90;21
1/6/2020 11:00 PM;60,4;200;60;41;100;21
1/7/2020 7:00 AM;60;184;61;41;105;20
1/7/2020 11:00 PM;59;192;60;42;110;22
1/8/2020 2:17 AM;65;211;65,2;40;112;21
1/8/2020 3:00 AM;57;168;58;42;110;22
1/8/2020 6:43 AM;63;188;63;39;105;21
1/8/2020 12:13 PM;60;190;60;40;105;21
1/8/2020 7:02 AM;61;188;61,3;43;112;21,2
1/8/2020 11:00 PM;60;189;61;41;105;20
1/9/2020 2:22 AM;58;190;58,8;41;114;21,2
1/9/2020 7:04 AM;61;194;61,3;40;115;21
1/9/2020 8:09 AM;55;168;55;39;110;20
1/10/2020 6:22 AM;56;185;57,2;41;110;21,2
1/10/2020 9:49 AM;58;197;58,7;41;110;21,2
1/10/2020 3:00 PM;56;190;58;39;100;21
1/10/2020 7:00 PM;62;192;63;41;100;21
1/11/2020 1:00 AM;57;180;57;42;95;20,5
1/11/2020 4:55 AM;59;198;59;40;105;21
1/11/2020 6:22 AM;58;200;58,8;42;110;20,8
1/11/2020 9:57 AM;58;192;58,7;43;106;21
1/11/2020 10:08 AM;60;204;60,3;38;105;21,3
1/11/2020 3:00 PM;67;200;67;41;110;22
1/11/2020 7:00 PM;59;192;60;41;110;22
1/12/2020 3:00 AM;52;170;52,4;39;96;21
1/12/2020 7:00 AM;57;190;58;41;110;21
1/12/2020 10:10 AM;61;189;61,6;39;110;21
1/13/2020 11:00 AM;54;180;55;42;100;22
1/13/2020 3:55 AM;57;168;57,5;40;110;19,8
1/13/2020 7:00 AM;59;200;60;38;100;21
1/13/2020 11:00 AM;55;180;56;42;110;22
1/13/2020 3:00 PM;60;194;61;41;105;20
1/13/2020 9:00 PM;61;200;62;43;110;20
1/13/2020 10:17 PM;60,6;200;60,8;41;110;21
1/14/2020 2:07 AM;62,1;206;62,6;42;110;21
1/14/2020 7:00 AM;62;190;63;40;90;21
1/14/2020 11:00 AM;61;202;62;41;110;22
1/14/2020 3:00 PM;60;196;60;42;110;21,5
1/14/2020 9:00 PM;60;190;60;42;115;21
1/14/2020 11:00 PM;55;180;55;41;110;22
1/15/2020 3:00 AM;58;192;59;41;110;21
1/15/2020 1:00 PM;60;200;61;41;110;20
1/15/2020 4:00 PM;59;190;59;43;110;21
1/15/2020 9:00 PM;58;188;58;41;115;21
1/15/2020 11:00 PM;57;182;57;41;110;21
1/16/2020 3:00 AM;61;200;61,5;42;110;21
1/16/2020 12:19 PM;59;196;59;42;110;21,5
1/16/2020 2:11 PM;58;190;59,2;43;114;21,5
1/16/2020 7:01 PM;55;180;55,4;41;110;21,5
1/17/2020 2:11 PM;59;192;59,9;42;110;21,5
1/17/2020 7:15 PM;54;180;55,2;42;115;21,5
1/17/2020 11:00 PM;51;168;51;42;110;21
1/18/2020 6:22 AM;54;162;55,2;39;113;20,5
1/18/2020 10:24 AM;60,4;186;60,2;42;110;21
1/18/2020 3:00 PM;60;190;59;42;110;22
1/18/2020 7:00 PM;57;190;60;43;100;22
1/18/2020 10:00 PM;58;192;58;42;110;21
1/19/2020 5:00 AM;51;166;51;41;115;21
1/19/2020 6:20 AM;55;176;55,9;42;113;20,6
1/19/2020 9:53 AM;61;204;61,9;41;110;20,6
1/19/2020 3:00 PM;67;200;67;41;110;22
1/19/2020 6:00 PM;60;210;61;41;110;21
1/19/2020 10:00 PM;64;206;64,4;45;110;20
1/20/2020 5:04 AM;61;202;61;42;110;21
1/20/2020 6:15 AM;60;200;60,8;43;114;21
1/20/2020 10:17 AM;55;182;55,6;42;105;21
1/21/2020 3:08 AM;61;187;61,4;43,8;110;21,3
1/21/2020 7:00 AM;59;180;58;39;110;20
1/21/2020 11:00 AM;55;178;55;43;110;21
1/21/2020 3:00 PM;62;198;63;42;100;20
1/21/2020 9:00 PM;60;194;61;41;100;20
1/21/2020 10:14 PM;62;189;62,5;42;110;21,3
1/22/2020 3:02 AM;61;188;62,2;43;107;20,3
1/22/2020 7:00 AM;63;210;64;44;110;21
1/22/2020 11:00 AM;62;205;63;44;110;20
1/22/2020 3:00 PM;60;204;60;44;110;21
1/22/2020 8:00 PM;61;204;61;42;110;20
1/22/2020 11:00 PM;61;200;61;41;110;20
1/23/2020 7:00 AM;62;200;62;41;110;20
1/23/2020 1:00 PM;62;208;63;44;105;20
1/23/2020 3:00 PM;60;200;60;42;100;21,5
1/23/2020 8:00 PM;59;196;59;44;110;21
1/24/2020 12:00 PM;60;196;60;44;115;21
1/24/2020 2:16 PM;57;188;57,8;42;110;21
1/24/2020 6:56 PM;58;180;58,8;44;112;21
1/24/2020 11:00 PM;61;202;62;42;105;20
1/25/2020 9:22 AM;62;204;62;43;105;21
1/25/2020 1:00 PM;63;200;63;44;115;21
1/25/2020 2:14 PM;60;200;60,5;45;110;21
1/25/2020 7:09 PM;63;208;63,6;45;110;20,5
1/26/2020 7:12 AM;56;180;57,3;40;100;20
1/26/2020 10:53 AM;60;194;60,9;45;102;21
1/26/2020 7:00 PM;57;184;85;44;110;21
1/27/2020 5:08 AM;63;208;63;42;115;20,5
1/27/2020 6:09 AM;60;202;60,2;42;105;21
1/27/2020 12:13 PM;58;288;58;44;115;20,5
1/27/2020 10:58 AM;59;190;59,6;44;110;21
1/27/2020 3:00 PM;62;210;62,5;45;100;20
1/27/2020 7:00 PM;61;200;61;45;100;20
1/28/2020 12:14 AM;59;192;59;43;115;20,5
1/28/2020 11:03 AM;58;182;58,8;38;110;21
1/28/2020 3:00 PM;61;200;62;42;90;20
1/28/2020 7:00 PM;64;210;65;62;110;21
1/28/2020 10:02 PM;57;164;57,6;41;75;19,8
1/29/2020 3:08 AM;56;186;57,6;43;110;20,8
1/29/2020 3:00 PM;61;200;62;41;110;20
1/29/2020 7:00 PM;66;210;66;45;110;21
1/29/2020 10:13 PM;60;180;60;45;109;20,6
1/30/2020 2:58 AM;57;188;57,6;45;112;20,7
1/30/2020 7:00 AM;60;198;61;42;110;20
1/30/2020 4:00 PM;64;210;65;43;110;21
1/30/2020 8:00 PM;63;206;63;44;105;21
1/30/2020 11:00 PM;63;210;63,5;43;110;20
1/31/2020 3:00 AM;60;200;61;43;100;20
1/31/2020 3:00 PM;55;174;55;42;85;21,5
1/31/2020 12:00 PM;56;182;56;45;110;21
1/31/2020 11:00 PM;60;205;61;43;100;20
2/1/2020 3:00 AM;60;200;61;44;110;20
2/1/2020 6:09 AM;62;210;62;45;110;20
2/1/2020 12:18 PM;60;214;60;42;110;21
2/1/2020 2:09 PM;61;208;61,3;38;112;21,2
2/2/2020 12:00 AM;51;160;52,3;41;105;20
2/2/2020 1:29 AM;61;188;61;44;110;21
2/2/2020 5:00 AM;66;208;66;43;105;20
2/2/2020 6:10 AM;64;200;64;44;105;20,5
2/2/2020 7:00 PM;63;198;64;43;110;20,5
2/14/2020 2:10 AM;61;198;61,3;45;112;21
2/3/2020 5:00 AM;64;200;64;45;110;19,5
2/3/2020 7:00 AM;63;200;64;45;110;20
2/3/2020 11:00 AM;63;210;64;44;110;21
2/3/2020 2:14 PM;64;210;64,3;44;110;21
2/3/2020 7:00 PM;65;208;65,7;44;1088;20
2/4/2020 3:00 AM;63;200;64;43;110;20
2/4/2020 6:08 AM;61;198;61,6;44;110;20
2/4/2020 11:03 AM;57;186;57,3;44;108;21,2
2/4/2020 3:00 PM;62;196;62;44;110;21
2/4/2020 8:00 PM;63;206;63;41;110;21
2/4/2020 10:08 PM;63;211;63,9;40;110;20,5
2/5/2020 7:13 AM;45;196;54;41;110;20,5
2/6/2020 5:06 AM;58;176;60;40;113;21,6
2/6/2020 7:19 AM;58,4;194;58;42,8;110;21,5
2/6/2020 11:00 AM;64;210;64;42;110;21,5
2/6/2020 3:00 PM;62;210;63;39;110;22
2/7/2020 1:09 AM;61;196;61;43;110;21,5
2/7/2020 10:54 AM;63;200;64,2;42;105;20
2/7/2020 3:00 PM;60;200;61;41;110;22
2/7/2020 7:00 PM;60;200;61;38;110;22
2/8/2020 1:09 AM;61;200;61;46;110;21
2/8/2020 4:00 AM;60;200;60;43;110;21
2/8/2020 7:00 AM;60;200;61,5;41;110;21
2/8/2020 11:00 AM;59;200;60;42;110;22
2/8/2020 2:05 PM;60;203;60,8;40;114;22,9
2/8/2020 7:02 PM;61;206;61,8;39;110;20,9
2/9/2020 12:00 AM;61;195;63;41;100;20
2/9/2020 7:00 AM;62;210;63;44;11;20
2/9/2020 11:00 AM;60;210;61;42;110;22
2/9/2020 2:07 PM;61;208;61,8;40;110;21,5
2/9/2020 6:57 PM;61;208;62,5;41;100;21
2/10/2020 1:58 AM;61;215;62,5;42;105;20
2/10/2020 7:00 AM;61;200;62;43;110;20
2/10/2020 2:12 PM;62;200;62,2;42;113;21,6
2/10/2020 6:51 PM;59;198;60;40;92;21,5
2/10/2020 11:00 PM;58;198;60;38;110;22
2/11/2020 3:00 AM;61;200;62;43;110;20
2/11/2020 6:09 AM;62;206;62,2;43;110;20,4
2/11/2020 11:04 AM;59;206;60,2;43;113;21,6
2/11/2020 3:00 PM;60;196;60;42;110;21
2/11/2020 11:00 PM;58;196;60;41;110;21
2/12/2020 3:00 AM;62;200;63;44;110;21
2/12/2020 6:03 AM;62;204;63,6;44;112;20
2/12/2020 11:11 AM;62;208;63,1;43;115;21,5
2/12/2020 3:00 PM;64;208;64;44;110;21,5
2/12/2020 8:00 PM;64;208;64;42;110;20
2/13/2020 9:53 PM;56;180;57,6;40;110;21
2/14/2020 3:06 AM;58;188;59;41;94;21
2/14/2020 7:00 AM;61;206;61;42;105;21
2/14/2020 12:08 PM;60;200;61;42;105;21,5
2/14/2020 3:00 PM;60;200;61;41;110;22
2/14/2020 7:00 PM;60;198;61;40;110;22
2/14/2020 11:00 PM;61;204;61;39;100;21
2/15/2020 4:33 AM;61;200;61;41;110;21
2/15/2020 3:00 PM;60;198;61;41;110;22
2/15/2020 7:00 PM;64;210;65;41;110;20
2/15/2020 11:00 PM;62;208;62;40;110;21
2/16/2020 7:00 AM;21;194;51;43;100;21
2/16/2020 12:00 PM;32;204;62;42;110;22
2/16/2020 2:08 PM;62;204;62,4;43;112;21,7
2/16/2020 6:59 PM;62;210;63;42;114;20,6
2/17/2020 12:00 AM;61;202;61;40;110;21
