Fecha/Hora;Concentración de licor pesado real (%);Frecuencia Triplex A (osc/min);Frecuencia Triplex B (osc/min);Frecuencia Triplex D (osc/min);Flujo votator A (kg gelatina/h);Flujo votator B (kg gelatina/h);Flujo votator D (kg gelatina/h);;;;
1/1/2020 1:05:04 AM;30,8;20,5;20,5;24,5;202,59;196,66;235,04;;;;
1/1/2020 2:11:32 AM;31,4;20,5;20,5;24,5;206,53;200,49;239,62;;;;
1/1/2020 2:16:57 AM;27,5;21;21;24,5;185,16;179,88;209,85;;;;
1/1/2020 2:56:45 AM;28;21;21;24,5;188,53;183,15;213,67;;;;
1/1/2020 3:01:46 AM;30;20,5;20,5;24,5;197,32;191,56;228,93;;;;
1/1/2020 4:02:50 AM;30;19,5;19,5;22;187,98;182,21;205,57;;;;
1/1/2020 4:17:47 AM;28,3;21;21;24,5;190,55;185,11;215,96;;;;
1/1/2020 4:57:52 AM;28,1;21;21;24,5;189,2;183,8;214,43;;;;
1/1/2020 5:00:48 AM;30;19,5;19,5;22;187,98;182,21;205,57;;;;
1/1/2020 5:45:04 AM;28,1;21;21;24,5;189,2;183,8;214,43;;;;
1/1/2020 6:00:00 AM;25;20;20;24;160,55;155,74;186,88;;;;
1/1/2020 7:00:00 AM;25,2;19;19;0;153,98;149,13;0;;;;
1/1/2020 7:00:28 AM;28,4;21;21;24,5;191,22;185,76;216,72;;;;
1/1/2020 8:00:00 AM;26;20;20;24,5;166,97;161,97;198,41;;;;
1/1/2020 8:07:44 AM;29,2;21;21;24,5;196,61;190,99;222,83;;;;
1/1/2020 8:54:13 AM;29;21;21;24,5;195,26;189,69;221,3;;;;
1/1/2020 9:00:00 AM;27;20;20;24,5;173,39;168,19;206,04;;;;
1/1/2020 10:00:00 AM;26,4;20,5;20,5;24,5;173,65;168,57;201,46;;;;
1/1/2020 11:00:00 AM;26,6;21;21;24,5;179,1;173,99;202,99;;;;
1/1/2020 12:00:00 PM;26,3;21;21;24,5;177,08;172,03;200,7;;;;
1/1/2020 1:00:00 PM;27;21;21;24,5;181,8;176,6;206,04;;;;
1/1/2020 10:00:00 PM;28,5;19;21;24,5;174,15;186,42;217,49;;;;
1/1/2020 11:00:00 PM;29,5;19,5;21;24,5;184,85;192,96;225,12;;;;
1/2/2020 12:00:00 AM;30,5;19,5;21;24,5;191,12;199,5;232,75;;;;
1/2/2020 1:00:00 AM;29,7;19,5;21;24,5;186,1;194,27;226,64;;;;
1/2/2020 1:02:24 AM;26,11;20,5;20,5;24,5;171,74;166,72;199,25;;;;
1/2/2020 2:00:00 AM;30,1;19,5;20;24,5;188,61;187,51;229,7;;;;
1/2/2020 4:00:00 AM;30,5;19;19;24,5;186,37;180,5;232,75;;;;
1/2/2020 5:00:00 AM;31,9;19;19;24,5;194,92;188,78;243,43;;;;
1/2/2020 5:53:42 AM;28,9;19;19;24,5;176,59;171,03;220,54;;;;
1/2/2020 11:59:33 AM;24,3;20,5;20,5;0;159,83;155,16;0;;;;
1/2/2020 2:00:00 PM;26,3;20,5;20,5;24,5;172,99;167,93;200,7;;;;
1/2/2020 3:00:00 PM;26,4;20,5;20,5;24,5;173,65;168,57;201,46;;;;
1/2/2020 4:00:00 PM;27,3;20,5;20,5;24,5;179,57;174,32;208,33;;;;
1/2/2020 5:00:00 PM;26,6;20,5;20,5;24,5;174,96;169,85;202,99;;;;
1/2/2020 6:00:00 PM;27,3;20,5;20,5;24,5;179,57;174,32;208,33;;;;
1/2/2020 7:00:00 PM;28,2;20,5;21;24,5;185,48;184,45;215,2;;;;
1/2/2020 8:00:00 PM;27,2;20,5;21;24,5;178,91;177,91;207,56;;;;
1/2/2020 9:00:00 PM;27,3;20,5;21;24,5;179,57;178,57;208,33;;;;
1/2/2020 10:00:00 PM;27;20,5;21;22;177,59;176,6;185,01;;;;
1/2/2020 11:00:00 PM;27,9;20,5;21;24,5;183,51;182,49;212,91;;;;
1/3/2020 12:00:00 AM;27,9;20,5;21;24,5;183,51;182,49;212,91;;;;
1/3/2020 1:00:00 AM;28,4;20,5;21;24,5;186,8;185,76;216,72;;;;
1/3/2020 2:00:00 AM;28,3;20,5;21;24,5;186,14;185,11;215,96;;;;
1/3/2020 3:00:00 AM;29,3;20,5;21;24,5;192,72;191,65;223,59;;;;
1/3/2020 4:00:00 AM;30,2;20,5;21;24,5;198,64;197,54;230,46;;;;
1/3/2020 5:00:00 AM;29,7;20,5;21;24,5;195,35;194,27;226,64;;;;
1/3/2020 6:11:15 AM;28,8;20;20;24,5;184,95;179,41;219,77;;;;
1/3/2020 6:54:59 AM;31,2;20;20;24,5;200,36;194,36;238,09;;;;
1/3/2020 7:50:50 AM;29,4;19,5;19,5;24,5;184,22;178,57;224,35;;;;
1/3/2020 9:03:42 AM;30;20,5;20,5;24,5;197,32;191,56;228,93;;;;
1/3/2020 10:19:09 AM;28;20;21;24;179,81;183,15;209,31;;;;
1/3/2020 11:12:17 AM;28,4;20;21;24,5;182,38;185,76;216,72;;;;
1/3/2020 11:16:27 AM;25,8;0;0;0;5,02;0;0;;;;
1/3/2020 11:54:52 AM;26,7;20,5;20,5;24,5;175,62;170,48;203,75;;;;
1/3/2020 2:00:00 PM;23,4;0;20,5;0;4,55;149,41;0;;;;
1/3/2020 3:00:00 PM;26;20;21;24,5;166,97;170,06;198,41;;;;
1/3/2020 4:00:00 PM;26,8;20;21;24,5;172,1;175,3;204,51;;;;
1/3/2020 5:00:00 PM;27,6;20;21;24,5;177,24;180,53;210,62;;;;
1/3/2020 6:00:00 PM;28,4;20;21;24,5;182,38;185,76;216,72;;;;
1/3/2020 7:00:00 PM;28,2;20;21;24,5;181,09;184,45;215,2;;;;
1/3/2020 8:00:00 PM;28,2;20;21;24,5;181,09;184,45;215,2;;;;
1/3/2020 9:00:00 PM;27,8;20;21;24,5;178,53;181,84;212,14;;;;
1/4/2020 2:05:59 AM;28,9;20;20;24,5;185,59;180,03;220,54;;;;
1/4/2020 3:04:28 AM;29,4;20;20;24,5;188,8;183,15;224,35;;;;
1/4/2020 4:09:41 AM;29,3;20;20;25;188,16;182,52;228,15;;;;
1/4/2020 4:57:47 AM;29,1;20;20;25;186,87;181,28;226,6;;;;
1/4/2020 6:00:00 AM;29,3;20;20;25;188,16;182,52;228,15;;;;
1/4/2020 7:00:00 AM;29,8;20;20;24;191,37;185,64;222,76;;;;
1/4/2020 8:00:00 AM;29,4;20;20;25;188,8;183,15;228,93;;;;
1/4/2020 9:00:00 AM;29,8;20;20;25;191,37;185,64;232,05;;;;
1/4/2020 10:00:00 AM;29,3;20;20;25;188,16;182,52;228,15;;;;
1/4/2020 10:31:07 AM;27,8;21;21;24;187,18;181,84;207,81;;;;
1/4/2020 11:00:00 AM;32,6;20;20;0;209,35;203,08;0;;;;
1/4/2020 11:16:07 AM;27,9;21;21;24,5;187,86;182,49;212,91;;;;
1/4/2020 12:00:00 PM;29,8;20;20;25;191,37;185,64;232,05;;;;
1/4/2020 12:23:13 PM;28,8;20;21;24,5;184,95;188,38;219,77;;;;
1/4/2020 12:53:23 PM;29;20;21;24,5;186,23;189,69;221,3;;;;
1/4/2020 1:00:00 PM;26,2;20;0;24;168,25;0;195,85;;;;
1/4/2020 2:00:00 PM;25,9;0;20;24;5,04;161,34;193,61;;;;
1/4/2020 3:00:00 PM;26,2;21;21;24;176,41;171,37;195,85;;;;
1/4/2020 4:00:00 PM;26,3;21;21;24;177,08;172,03;196,6;;;;
1/4/2020 5:00:00 PM;27,1;21;21;21;182,47;177,26;177,26;;;;
1/4/2020 6:00:00 PM;27,1;21;21;24;182,47;177,26;202,58;;;;
1/4/2020 7:00:00 PM;27,6;21;21;24;185,84;180,53;206,32;;;;
1/4/2020 8:00:00 PM;27,3;21;21;24;183,82;178,57;204,08;;;;
1/4/2020 9:00:00 PM;28,4;21;21;24;191,22;185,76;212,3;;;;
1/5/2020 1:58:27 AM;28,6;20,5;21;25;188,12;187,07;222,7;;;;
1/5/2020 2:58:53 AM;28,8;20,5;21;25;189,43;188,38;224,26;;;;
1/5/2020 4:03:59 AM;29;20,5;21;25;190,75;189,69;225,82;;;;
1/5/2020 6:00:00 AM;30;20,5;21;25;197,32;196,23;233,6;;;;
1/5/2020 7:00:00 AM;30;20,5;21;25;197,32;196,23;233,6;;;;
1/5/2020 8:00:00 AM;30,2;20,5;0;25;198,64;0;235,16;;;;
1/5/2020 9:07:44 AM;29,4;21;21;25;197,95;192,3;228,93;;;;
1/5/2020 10:00:00 AM;29,7;20;20;25;190,73;185,01;231,27;;;;
1/5/2020 10:25:11 AM;26,8;21;21;25;180,45;175,3;208,69;;;;
1/5/2020 10:55:56 AM;29,7;21;21;25;199,97;194,27;231,27;;;;
1/5/2020 11:05:40 AM;27;20,5;21;25;177,59;176,6;210,24;;;;
1/5/2020 12:03:39 PM;29,7;20;20;25;190,73;185,01;231,27;;;;
1/5/2020 12:03:58 PM;28,6;20,5;21;25;188,12;187,07;222,7;;;;
1/5/2020 12:55:37 PM;28,7;20,5;21;25;188,77;187,72;223,48;;;;
1/5/2020 6:00:00 PM;26,4;19;18;24;161,32;148,01;197,35;;;;
