Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
001;1/3/2020 1:50:00 AM;1;2;7;10;80;5;0,12;0,21;2,8;2,8;Sin medicion;Sin medicion;2;Sin medicion
001;1/3/2020 1:50:00 AM;4;2;Sin medicion;10,5;Sin medicion;5;1;2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
001;1/3/2020 4:40:00 AM;1;1,8;7;9,8;80;4,7;11;0,21;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
001;1/3/2020 4:40:00 AM;4;2,1;Sin medicion;11;Sin medicion;5,3;1;0,24;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
003;1/4/2020 3:27:28 PM;1;1,8;10;9,5;82;5;10,4;2;2,9;2,9;3;30;30;31
003;1/4/2020 3:27:28 PM;4;2,4;Sin medicion;11;Sin medicion;5,5;10,5;2,5;2,9;2,9;3;30;30;31
003;1/4/2020 7:54:01 PM;1;2;8;10;79;5;10,6;2,1;2,9;2,9;3,1;30;30;31
003;1/4/2020 7:54:01 PM;4;2,5;Sin medicion;11;Sin medicion;5,5;10,5;2,2;2,9;2,9;3,1;30;30;31
004;1/5/2020 8:00:00 PM;1;2;7;10;80;5;0,1;0,21;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
004;1/5/2020 8:00:00 PM;4;2,1;Sin medicion;10,2;Sin medicion;5,2;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
004;1/5/2020 11:24:03 PM;1;2;6;9,8;78;4,5;10,2;2,1;2,9;2,9;3,1;30;30;31
004;1/5/2020 11:24:03 PM;4;2,1;Sin medicion;10,2;Sin medicion;5,2;10;1,9;2,9;2,9;3,1;30;30;31
004;1/6/2020 4:00:32 AM;1;2;6;9,8;78;4,5;10,4;2,1;2,9;2,9;3,1;30;30;31
004;1/6/2020 4:00:32 AM;4;2,4;Sin medicion;10,5;Sin medicion;5,5;10;2,2;2,9;2,9;3,1;30;30;31
004;1/6/2020 4:30:00 PM;1;2;8;80;80;5;0,12;0,21;2,8;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
004;1/6/2020 4:30:00 PM;4;2,5;Sin medicion;11;Sin medicion;5,5;Sin medicion;1,01;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
005;1/6/2020 7:50:00 PM;1;8;8;80;80;4,8;0,1;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
005;1/6/2020 7:50:00 PM;4;2,4;Sin medicion;10,4;Sin medicion;5,2;0,1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 6:30:00 AM;1;2;7;9,2;78;5;0,98;0;3;3;0,3;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 6:30:00 AM;4;2,4;Sin medicion;10,1;Sin medicion;5,5;0,95;0,24;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion
006;1/7/2020 8:20:00 PM;1;2;7;10;78;5;0,1;0,21;2,8;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
