Número de extracción;Fecha;Hora;Presión agua intercambiador (psi);Nivel de kathene acondicionador (in);Presión atomización en acondicionador (psi);Presión atomización en regenerador (psi);Caida de presión en filtros cambridge (in H2O);Caida de presión en acodicionador (in H2O);Caida de presión en regenerador (in H2O);Temperatura aire A (°C);Temperatura aire B (°C);Temperatura aire C (°C)
001;2018-01-02;5:00;7;11,8;4,5;0,4;0,25;2,10;1,00;40,7;40,9;51,1
001;2018-01-02;8:00;4;11,8;5,0;0,4;0,25;2,20;1,10;39,5;39,6;44,8
001;2018-01-02;12:00;3;11,6;5,0;0,4;0,25;2,10;1,10;41,0;40,8;51,3
001;2018-01-02;15:00;2;13,1;5,0;0,4;0,25;2,20;1,10;40,2;40,3;51,8
001;2018-01-02;20:00;2;12,3;4,8;0,4;0,25;2,10;1,00;39,9;40,8;51,2
002;2018-01-03;5:00;2;11,9;4,5;0,4;0,26;2,10;0,90;40,1;40,5;51,5
002;2018-01-03;7:00;2;12,1;4,5;0,4;0,25;2,10;1,00;40,2;40,8;51,5
002;2018-01-03;10:00;0;13,4;4,8;0,4;0,26;2,10;1,00;40,5;41,3;51,6
002;2018-01-03;15:00;2;12,2;4,8;0,4;0,26;2,10;1,00;40,1;41,3;51,6
002;2018-01-03;20:00;2;13,4;4,8;0,4;0,26;2,10;1,00;40,5;40,8;51,6
003;2018-01-04;5:00;4;13,0;4,8;0,4;0,25;2,10;1,00;39,8;40,0;50,8
003;2018-01-04;7:00;2;12,5;4,5;0,4;0,25;2,10;1,00;40,6;40,6;51,6
003;2018-01-04;10:00;4;12,4;4,6;0,4;0,26;2,10;1,00;40,9;41,3;51,6
003;2018-01-04;15:00;3;12,6;4,5;0,4;0,26;2,10;1,40;38,9;39,7;50,4
003;2018-01-04;20:00;2;13,8;4,5;0,3;0,26;2,10;1,30;38,7;39,3;49,6
003;2018-01-05;23:00;4;12,0;4,6;0,3;0,25;2,10;2,10;39,0;39,2;49,7
004;2018-01-05;13:00;4;14,3;4,5;0,4;0,25;2,00;1,00;40,1;40,6;50,1
004;2018-01-05;15:00;2;12,7;4,6;0,4;0,25;2,10;1,00;40,9;41,3;51,6
004;2018-01-05;20:00;3;13,2;4,7;0,3;0,25;2,10;1,20;40,3;40,4;50,7
004;2018-01-05;23:00;5;13,4;4,5;0,3;0,20;2,10;1,10;40,1;40,2;50,9
004;2018-01-06;4:00;5;12,8;4,5;0,3;0,20;2,10;1,10;38,9;39,6;50,9
005;2018-01-06;9:00;4;12,6;4,6;0,4;0,25;2,00;0,90;40,1;40,9;49,7
005;2018-01-06;12:00;3;12,2;4,6;0,4;0,25;2,10;1,00;39,8;40,2;50,3
005;2018-01-06;16:00;4;13,3;4,6;0,4;0,26;1,90;1,20;40,2;40,3;51,5
005;2018-01-06;20:00;3;12,1;4,6;0,3;0,25;2,00;1,10;40,0;39,9;51,0
005;2018-01-06;23:00;4;12,5;4,5;0,3;0,26;2,00;1,00;39,1;39,6;50,5
005;2018-01-07;3:00;4;12,2;4,5;0,3;0,26;2,00;1,00;38,7;39,1;49,9
006;2018-01-07;15:00;4;13,1;4,5;0,4;0,25;2,00;1,20;40,1;40,2;51,6
006;2018-01-07;20:00;4;11,5;4,5;0,4;0,25;2,00;1,30;38,9;39,1;49,5
