Número de extracción;Fecha/hora;Temperatura de esterilización (°C);Temperatura Salida de Gelatina (°C);Temperatura Salida de agua del condensador (°C);Presión de Vacio (in Hg);Presión de entrada al esterilizador (psi);
001;1/2/2020 1:04:25 AM;141,6;51;47,2;19,8;58;
;1/2/2020 12:03:42 PM;141,8;49,3;45,2;20;52;
;1/2/2020 3:00:00 PM;142;50;48;20;58;
;1/2/2020 4:00:00 PM;142;50;48;20;58;
;1/2/2020 5:00:00 PM;142;51;48;20;58;
;1/2/2020 6:00:00 PM;142;51,6;48;20;58;
;1/2/2020 7:00:00 PM;142;51,4;48;20;58;
;1/2/2020 8:00:00 PM;142;50;48;20;58;
;1/2/2020 9:00:00 PM;142;51;48;20;58;
;1/2/2020 10:00:00 PM;141,2;50,2;47;20;59;
;1/2/2020 11:00:00 PM;141,5;51,2;47;20;59;
;1/3/2020 12:00:00 AM;141,2;50,2;47;20;59;
;1/3/2020 1:00:00 AM;142,2;49,1;45;20;59;
;1/3/2020 2:00:00 AM;142,2;49,5;46;20;59;
;1/3/2020 3:00:00 AM;141,2;49,1;45;20;59;
;1/3/2020 4:00:00 AM;141,8;49,2;46;20;59;
;1/3/2020 5:00:00 AM;141,8;49,6;46;20;59;
;1/3/2020 6:13:20 AM;142;48,5;45;20,5;56;
;1/3/2020 6:57:05 AM;141,6;47,7;44,8;20,5;56;
;1/3/2020 7:53:02 AM;142,1;48,1;44,8;20,3;52;
;1/3/2020 9:05:17 AM;142;46,5;44;20,5;54;
002;1/3/2020 10:20:50 AM;141,4;49,9;46,2;19,8;58;
;1/3/2020 11:13:45 AM;141,8;49,9;46;20;58;
;1/3/2020 11:17:53 AM;142,2;46,3;44,8;20,6;54;
;1/3/2020 11:56:59 AM;141,8;44,8;42,8;21;52;
;1/3/2020 2:00:00 PM;142;45;44;20;58;
;1/3/2020 3:00:00 PM;142;49;46;20;58;
;1/3/2020 4:00:00 PM;142;50,5;48;20;58;
;1/3/2020 5:00:00 PM;142;50,8;48;20;58;
;1/3/2020 6:00:00 PM;142;50;46;20;58;
;1/3/2020 7:00:00 PM;142;50,5;46;20;58;
;1/3/2020 8:00:00 PM;142;50;48;20;58;
;1/3/2020 9:00:00 PM;142;50;48;20;58;
;1/4/2020 2:08:01 AM;142;49,5;45,8;20,3;60;
;1/4/2020 3:06:35 AM;141,6;49,5;45,8;20,3;58;
;1/4/2020 4:11:25 AM;141,8;49,4;45,6;20,3;60;
;1/4/2020 4:59:13 AM;141,8;49,8;46;20;58;
;1/4/2020 6:00:00 AM;142;49;46;20;58;
;1/4/2020 7:00:00 AM;142;49;48;20;58;
;1/4/2020 8:00:00 AM;142;50;48;20;58;
;1/4/2020 9:00:00 AM;142;48,6;46;20;58;
;1/4/2020 10:00:00 AM;142;49,6;48;20;58;
;1/4/2020 11:00:00 AM;142;46,5;44;20;58;
;1/4/2020 12:00:00 PM;142;50;48;20;58;
;1/4/2020 12:24:31 PM;141,6;50;46,2;19,8;58;
;1/4/2020 12:54:47 PM;141,7;50;46,2;20;58;
003;1/4/2020 10:33:24 AM;141,7;49,5;45,8;20;58;
;1/4/2020 11:18:21 AM;141,4;49;46;20,5;58;
;1/4/2020 1:00:00 PM;142;48;46;58;58;
;1/5/2020 2:00:07 AM;141,8;49,5;45,2;20,4;55;
;1/5/2020 3:00:16 AM;141,7;50;45,2;20,3;58;
;1/5/2020 4:06:02 AM;141,6;49,6;45,3;20,3;56;
;1/5/2020 5:02:34 AM;141,6;49,4;45,2;20,4;56;
;1/5/2020 6:00:00 AM;142;49;46;20;58;
;1/5/2020 7:00:00 AM;142;49;46;20;58;
;1/5/2020 8:00:00 AM;142;46,4;44;20;58;
;1/5/2020 10:00:00 AM;142;49;46;20;58;
;1/5/2020 12:05:22 PM;141,5;49,7;45,6;20,3;58;
;1/5/2020 12:59:52 PM;141,3;49,5;45,2;20,4;58;
004;1/5/2020 10:31:24 AM;139,9;50,7;46;20;57;
;1/5/2020 11:07:06 AM;139,8;51,5;46,2;20;58;
;1/5/2020 6:00:00 PM;141;50,5;47;20;59;
;1/5/2020 7:00:00 PM;139,8;50,7;47;20;59;
;1/5/2020 8:00:00 PM;139,9;50,7;47;20;59;
;1/5/2020 9:00:00 PM;139,8;51;47;20;59;
;1/6/2020 2:04:43 AM;139,2;49,6;46;20;58;
;1/6/2020 3:21:00 AM;140,2;49,9;46;20;60;
;1/6/2020 4:05:06 AM;140,3;49;46;20;58;
;1/6/2020 4:48:48 AM;141,6;47,9;45,3;20,6;60;
;1/6/2020 6:00:00 AM;142;48;46;20;58;
;1/6/2020 7:00:00 AM;142;48;46;20;58;
;1/6/2020 8:00:00 AM;142;48,5;46;20;58;
;1/6/2020 9:00:00 AM;142;49;48;20;58;
;1/6/2020 10:00:00 AM;142;48,4;46;20;58;
;1/6/2020 11:00:00 AM;142;48;46;20;58;
;1/6/2020 12:00:00 PM;142;48,5;46;20;58;
;1/6/2020 12:02:24 PM;14;51,6;465;20;58;
;1/6/2020 12:59:34 PM;139,6;52;48,2;19,7;58;
;1/6/2020 1:00:00 PM;142;49;46;20;58;
005;1/6/2020 10:00:00 PM;142;51,6;48;20;58;
;1/6/2020 11:00:00 PM;142;50;46;20;58;
;1/7/2020 12:00:00 AM;142;50;48;20;58;
;1/7/2020 1:00:00 AM;142;50,5;48;20;58;
;1/7/2020 2:00:00 AM;142;53;48;20;58;
;1/7/2020 3:00:00 AM;142;51;48;20;58;
;1/7/2020 4:00:00 AM;142;49,5;48;20;58;
;1/7/2020 5:00:00 AM;142;50;48;20;58;
;1/7/2020 6:00:00 AM;141,1;49,2;47;20;59;
;1/7/2020 7:00:00 AM;140,9;49,5;47;20;59;
006;1/7/2020 8:00:00 PM;141,8;51;45;20;58;
;1/7/2020 9:00:00 PM;141;50;48;20;58;
;1/7/2020 10:00:00 PM;142;50,7;48;20;58;
;1/7/2020 11:00:00 PM;142;50;48;20;58;
;1/8/2020 12:00:00 AM;142;51;48;20;58;
;1/8/2020 1:00:00 AM;142;50,6;48;20;58;
;1/8/2020 2:00:00 AM;142;51;48;20;58;
;1/8/2020 2:21:41 AM;142,4;48,1;44;20,6;57;
;1/8/2020 3:00:00 AM;142;50,4;48;20;58;
;1/8/2020 3:10:09 AM;142,3;48,6;44;20,5;58;
;1/8/2020 3:46:03 AM;142;48,8;45;20,4;56;
;1/8/2020 4:51:07 AM;141,7;49,4;45;20;58;
;1/8/2020 5:00:00 AM;142;49;48;20;58;
;1/8/2020 6:10:29 AM;141,7;48;45;20;58;
