Número de extracción;Fecha;Duración (h);Hora inicial alimentación;Hora  final alimentación;pH inicial licor liviano;Claridad inicial licor liviano (NTU);RF R1;RF R2;RF R3;RF R4;RF R5;RF R6;RF R7;RF R8;RF R9;RF R10;RF R11;RF R12;RF R13;RF R14;RF R15;RF R16;RF R17;RF R18;RF R19;RF R20;RF R21;RF R22;RF R23;RF R24;RF R25;RF R26;RF R27;Residuo total (in);Residuo total (kg);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
001;2018-01-02;22:00:00;0:00;19:30;2,73;43;1;1;3;0,5;0,5;0,5;1;1;1;1;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;0,5;0,5;23,5;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
002;2018-01-03;24:20:00;0:00;19:00;3,21;87;0,5;0,5;5;0,5;0,5;3;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;1;1;1;1;1;24,5;982;14,5;1,0;508;120;4:30;6:30;20;11.350;508;37;4,75;4,5;;;;;;0;;;;30;4:30;5:00;2;0,5;25;5.721;270;56;4,65;4,72;7;0,9;204;120;7:00;9:00;25;9.424;204;79;5,20;2,16;;;;;;0;;;;;
003;2018-01-04;22:40:00;0:30;19:30;3,20;110;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;2;2;4;4;1;1;1;1;26,5;1.050;14,5;1,0;461;120;3:30;5:30;15;11.526;461;33;4,84;4,0;;;;;;0;;;;30;5:00;5:30;2;0,5;20;5.930;190;11;4,50;3,20;8;1,0;399;120;7:00;9:00;20;9.591;399;38;4,59;4,16;;;;;;0;;;;;
004;2018-01-05;25:20:00;0:30;22:00;3,20;20;2;3;4;3;2;0,5;0,5;0,5;0,5;1;1;1;2;1;1;0,5;0,5;0,5;0,5;3;3;7;3;3;3;1;1;49,0;1.514;8,5;0,6;277;120;4:00;6:00;15;11.526;277;28;5,20;2,4;;;;;;0;;;;30;4:00;4:30;2;0,5;10;6.349;457;35;5,07;7,20;16;2,0;781;120;7:00;9:00;15;9.759;781;27;4,93;8,00;;;;;;0;;;;;
005;2018-01-06;23:00:00;3:30;23:00;3,19;15;2;1;4;3;3;0,5;0,5;1;1;1;0,5;1;4;0,5;1;0,5;0,5;0,5;0,5;2;0,5;3;2;0,5;2;2;2;40,0;1.064;23,0;1,5;279;120;6:00;8:00;13;11.613;279;41;5,00;2,4;;;;;;0;;;;30;5:30;6:00;2;0,5;13;6.244;325;36;4,79;5,20;24;3,0;461;120;8:00;10:00;15;9.759;461;48;4,51;4,72;;;;;;0;;;;;
006;2018-01-07;25:40:00;5:00;3:30;3,02;31;3;1;2;3;1;1;1;1;1;0,5;1;1;2;1;1;0,5;0,5;0,5;0,5;3;3;3;3;3;3;3;3;46,5;1.061;24,0;1,6;315;120;7:30;9:30;23;11.262;315;39;4,78;2,8;;;;;;0;;;;30;7:30;8:00;2;0,5;25;5.721;188;40;4,59;3,28;14;1,8;558;120;9:30;11:30;25;9.424;558;29;4,70;5,92;;;;;;0;;;;;
007;2018-01-08;23:25:00;9:00;5:00;2,87;13;0,5;1;2;2;0,5;1;0,5;0,5;1;1;0,5;1;2;0,5;0,5;0,5;0,5;0,5;0,5;2;2;2;2;2;2;2;2;32,5;1.176;20,5;1,4;385;120;12:00;14:00;1;12.019;385;28;4,58;3,2;;;;;;0;;;;30;12:00;12:30;2;0,5;10;6.355;273;38;4,75;4,30;24;3,0;518;120;9:30;11:30;9;9.965;518;25;4,56;5,20;;;;;;0;;;;;
008;2018-01-09;30:15:00;9:45;9:30;3,29;32;1;1;1;2;1;1;0,5;1;1;1;4;3;1;0,5;0,5;0,5;0,5;0,5;0,5;6;2;4;3;3;3;0,5;2;45,0;2.009;14,5;1,0;1.117;120;13:00;15:00;25;11.174;1.117;34;5,10;10,0;;;;;;0;;;;30;13:00;13:30;2;0,5;18;6.035;246;32;4,71;4,08;16;2,0;646;120;18:00;20:00;13;9.843;646;40;4,55;6,56;;;;;;0;;;;;
009;2018-01-10;23:00:00;19:55;16:00;3,33;29;2;1,5;1;1;0,5;1;0,5;1;1;1;0,5;1;1;0,5;0,5;1;0,5;0,5;1;1;1;1;1;1;1;;1;24,0;987;19,5;1,3;429;120;21:00;23:00;38;10.734;429;18;4,85;4,0;;;;;;0;;;;30;22:00;22:30;2;0,5;43;4.989;160;42;4,70;3,20;24;2,9;398;120;0:00;2:00;15;9.759;398;55;4,82;4,08;;;;;;0;;;;;
010;2018-01-11;24:00:00;20:45;17:00;3,32;127;0,5;0,5;1;1;1;1;1;1;1;1;1;1;3;1;1;0,5;0,5;0,5;0,5;1;2;3;3;2;1;1;1;32,0;897;14,0;0,9;304;120;23:00;1:00;15;11.526;304;55;4,90;2,6;;;;;;0;;;;30;22:00;22:30;3;0,8;36;5.303;297;66;4,50;5,60;7;0,9;296;120;1:00;3:00;30;9.256;296;18;4,50;3,20;;;;;;0;;;;;
011;2018-01-12;24:30:00;22:00;19:00;3,08;36;1;2;2;0,5;1;0,5;1;1;2;1;0,5;1;1;0,5;1;0,5;0,5;0,5;0,5;2;1;1;1;1;1;1;1;27,0;676;16,0;1,1;361;120;1:00;3:00;38;10.734;361;60;4,98;3,4;;;;;;0;;;;30;0:30;1:00;2;0,5;46;4.884;207;35;4,92;4,24;14;1,8;108;120;3:00;5:00;38;9.005;108;21;5,10;1,20;;;;;;0;;;;;
012;2018-01-13;22:00:00;1:00;18:00;3,09;25;1;2;3;2;0,5;0,5;0,5;1;1;1;1;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;1;1;1;2;1;3;1;1;29,0;995;16,0;1,1;379;120;5:00;7:00;6;11.846;379;57;5,07;3,2;;;;;;0;;;;30;2:30;3:00;2;0,5;36;5.285;296;38;4,93;5,60;9;1,1;320;120;7:00;9:00;8;9.998;320;38;4,93;3,20;;;;;;0;;;;;
013;2018-01-14;22:45:00;1:30;18:00;3,03;33;1;1;0,5;1;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;1;0,5;0,5;0,5;0,5;0,5;0,5;3;1;1;1;3;1;1;1;24,0;1.128;16,0;1,1;472;120;5:00;7:00;7;11.811;472;29;5,01;4,0;;;;;;0;;;;30;3:00;3.30;2;0,5;8;6.438;335;26;4,97;5,20;11;1,4;321;120;7:00;9:00;7;10.031;321;7;4,71;3,20;;;;;;0;;;;;
014;2018-01-15;22:30:00;2:00;20:00;2,91;33;0,5;0,5;1;1;0,5;0,5;0,5;0,5;0,5;2;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;3;0,5;0,5;3;3;3;0,5;0,5;26,0;782;10,0;0,7;240;120;5:00;7:00;15;11.526;240;29;5,40;2,1;;;;;;0;;;;30;5:00;5:30;2;0,5;25;5.738;220;45;5,40;3,84;12;1,5;322;120;8:00;10:00;20;9.591;322;36;4,76;3,36;;;;;;0;;;;;
015;2018-01-16;21:40:00;4:00;22:20;3,30;11;0,5;0,5;1;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;1;0,5;0,5;2;1;2;1;1;1;4;3;1;1;0,5;0,5;27,5;912;10,0;0,7;415;90;6:30;8:00;15;11.526;415;53;5,20;3,6;;;;;;0;;;;30;7:00;7:30;2;0,5;10;6.349;127;34;5,18;2,00;14;1,8;370;90;8:30;10:00;13;9.843;370;32;4,52;3,76;;;;;;0;;;;;
016;2018-01-17;22:40:00;4:30;22:00;3,02;11;0,5;0,5;1;1;0,5;0,5;0,5;0,5;1;0,5;1;2;2;0,5;0,5;0,5;0,5;0,5;0,5;1,5;1,5;2;1,5;1,5;1,5;0,5;0,5;25,0;1.207;9,5;0,6;340;120;6:30;8:00;25;11.188;340;64;4,75;3,0;;;;;;0;;;;30;7:00;7:30;6;1,5;15;6.140;403;26;4,73;6,56;12;1,5;464;120;8:30;10:30;23;9.508;464;40;5,67;4,88;;;;;;0;;;;;
017;2018-01-19;22:50:00;6:30;23:30;3,13;29;0,5;1;2;1;0,5;0,5;0,5;0,5;0,5;0,5;0,5;1;2;0,5;1;0,5;0,5;0,5;0,5;2;1;0,5;0,5;0,5;2;0,5;0,5;22,0;809;12,5;0,8;236;90;12:00;13:30;8;11.776;236;42;5,00;2,0;;;;;;0;;;;30;9:00;9:30;2;0,5;9;6.397;333;59;4,58;5,20;11;1,3;241;90;11:00;12:30;7;10.031;241;58;5,00;2,40;;;;;;0;;;;;
