Número de extracción;Fecha;Hora;Peróxido de hidrogeno (ppm);Dióxido de azufre (ppm);NTU L1;NTU L3;NTU FP 1;NTU FP2;NTU FP 3;NTU FP 4
001;2018-01-02;1:00;124;4;ND;ND;ND;ND;ND;ND
001;2018-01-02;3:00;130;20;132;47;52;44;ND;ND
001;2018-01-02;5:00;24;4;ND;ND;ND;ND;ND;ND
001;2018-01-02;7:00;25;0;210;68;69;53;ND;ND
001;2018-01-02;9:00;28;4;ND;ND;ND;ND;ND;ND
001;2018-01-02;11:00;79;0;214;120;ND;64;ND;ND
001;2018-01-02;13:00;62;12;ND;ND;ND;ND;ND;ND
001;2018-01-02;15:00;43;0;202;140;135;81;ND;ND
001;2018-01-02;17:00;56;4;ND;ND;ND;ND;ND;ND
001;2018-01-02;19:00;25;0;174;126;72;52;ND;ND
001;2018-01-02;21:00;36;8;ND;ND;ND;ND;ND;ND
001;2018-01-02;23:00;17;12;ND;ND;ND;ND;ND;ND
002;2018-01-03;1:00;271;0;ND;ND;ND;ND;ND;ND
002;2018-01-03;3:00;169;0;ND;18;49;36;ND;ND
002;2018-01-03;5:00;100;0;ND;ND;ND;ND;ND;ND
002;2018-01-03;7:00;36;0;221;52;106;88;ND;ND
002;2018-01-03;9:00;35;0;ND;ND;ND;ND;ND;ND
002;2018-01-03;11:00;8;0;197;116;78;73;ND;ND
002;2018-01-03;13:00;214;14;ND;ND;ND;ND;ND;ND
002;2018-01-03;15:00;16;0;202;172;76;64;ND;ND
002;2018-01-03;17:00;68;12;ND;ND;ND;ND;ND;ND
002;2018-01-03;19:00;50;0;397;121;117;109;ND;ND
002;2018-01-03;21:00;115;6;ND;ND;ND;ND;ND;ND
002;2018-01-03;23:00;10;0;236;ND;ND;55;ND;ND
002;2018-01-04;1:00;168;0;ND;ND;ND;ND;ND;ND
003;2018-01-04;1:00;ND;ND;ND;ND;ND;ND;ND;ND
003;2018-01-04;3:00;ND;ND;41;27;21;20;ND;ND
003;2018-01-04;5:00;128;4;ND;ND;ND;ND;ND;ND
003;2018-01-04;7:00;25;0;101;47;32;27;ND;ND
003;2018-01-04;9:00;59;12;ND;ND;ND;ND;ND;ND
003;2018-01-04;11:00;10;0;183;76;ND;40;ND;ND
003;2018-01-04;13:00;222;10;ND;ND;ND;ND;ND;ND
003;2018-01-04;15:00;90;0;411;151;90;80;ND;ND
003;2018-01-04;17:00;130;0;ND;ND;ND;ND;ND;ND
003;2018-01-04;19:00;71;0;163;119;94;106;ND;ND
003;2018-01-04;21:00;258;0;ND;ND;ND;ND;ND;ND
003;2018-01-04;23:00;66;22;230;ND;ND;ND;ND;ND
003;2018-01-05;1:00;272;12;ND;ND;ND;ND;ND;ND
004;2018-01-05;3:00;ND;ND;ND;ND;ND;ND;ND;ND
004;2018-01-05;5:00;ND;ND;182;30;12;ND;ND;ND
004;2018-01-05;7:00;98;0;51;52;75;82;ND;ND
004;2018-01-05;9:00;110;16;ND;ND;ND;ND;ND;ND
004;2018-01-05;11:00;96;0;137;105;53;52;ND;ND
004;2018-01-05;13:00;75;12;ND;ND;ND;ND;ND;ND
004;2018-01-05;15:00;10;0;126;118;71;57;ND;ND
004;2018-01-05;17:00;107;0;ND;ND;ND;ND;ND;ND
004;2018-01-05;19:00;10;0;168;154;93;69;ND;ND
004;2018-01-05;21:00;255;20;ND;ND;ND;ND;ND;ND
004;2018-01-05;23:00;20;0;159;173;68;ND;ND;ND
004;2018-01-06;1:00;219;24;ND;ND;ND;ND;ND;ND
004;2018-01-06;3:00;24;0;ND;ND;ND;ND;ND;ND
005;2018-01-06;5:00;203;12;ND;ND;ND;ND;ND;ND
005;2018-01-06;7:00;ND;ND;62;30;35;29;ND;ND
005;2018-01-06;9:00;25;0;102;35;50;44;ND;ND
005;2018-01-06;11:00;10;0;119;74;52;43;ND;ND
005;2018-01-06;13:00;80;0;ND;ND;ND;ND;ND;ND
005;2018-01-06;15:00;8;0;153;101;53;46;ND;ND
005;2018-01-06;17:00;118;4;ND;ND;ND;ND;ND;ND
005;2018-01-06;19:00;8;0;136;97;ND;77;ND;ND
005;2018-01-06;21:00;267;8;ND;ND;ND;ND;ND;ND
005;2018-01-06;23:00;112;24;143;126;80;ND;ND;ND
005;2018-01-07;1:00;162;8;ND;ND;ND;ND;ND;ND
005;2018-01-07;3:00;37;0;ND;ND;ND;ND;ND;ND
006;2018-01-07;7:00;ND;ND;ND;18;ND;15;ND;ND
006;2018-01-07;9:00;156;14;ND;ND;ND;ND;ND;ND
006;2018-01-07;11:00;7;0;22;12;12;10;ND;ND
006;2018-01-07;13:00;123;0;ND;ND;ND;ND;ND;ND
006;2018-01-07;15:00;39;0;41;22;22;20;ND;ND
006;2018-01-07;17:00;255;12;ND;ND;ND;ND;ND;ND
006;2018-01-07;19:00;2;0;146;69;ND;ND;ND;ND
006;2018-01-07;21:00;89;4;ND;ND;ND;ND;ND;ND
006;2018-01-07;23:00;35;0;182;98;70;ND;ND;ND
006;2018-01-08;1:00;142;8;ND;ND;ND;ND;ND;ND
006;2018-01-08;3:00;65;0;132;102;68;65;ND;ND
006;2018-01-08;5:00;152;12;ND;ND;ND;ND;ND;ND
006;2018-01-08;7:00;45;0;ND;ND;ND;50;ND;ND
007;2018-01-08;11:00;ND;ND;24;25;21;17;ND;ND
007;2018-01-08;13:00;189;4;ND;ND;ND;ND;ND;ND
007;2018-01-08;15:00;5;0;32;39;79;31;ND;ND
007;2018-01-08;17:00;279;12;ND;ND;ND;ND;ND;ND
