Número de extracción;Fecha;Número tanque de residuo;Temperatura final de adición de vapor (°C);Tiempo de adición de vapor (min);Nivel de vacio (in);Claridad final (NTU);pH Inicial;pH final;Concentración licor de residuo (%);Volumen licor de residuo (L);Peso de carnaza de residuo (kg)
153;2018-06-14;2;41,0;0:00;8;45;4,15;4,91;1,8;5.930;104
153;2018-06-14;2;63,0;2:00;10;74;3,80;5,02;3,2;5.721;183
153;2018-06-14;1;65,0;2:30;18;26;4,20;4,96;4,0;10.470;419
153;2018-06-14;2;60,0;2:00;10;74;4,73;4,73;3,6;5.721;206
153;2018-06-14;1;55,0;2:00;9;68;4,88;4,88;4,6;11.262;523
153;2018-06-14;2;66,0;1:45;8;37;4,50;5,33;3,7;5.930;218
153;2018-06-14;1;66,0;0:00;10;74;4,39;5,30;4,5;11.707;524
154;2018-06-15;1;38,0;0:00;22;66;4,60;5,50;3,0;10.118;304
154;2018-06-15;2;43,0;0:00;16;85;4,20;5,60;4,5;5.094;229
154;2018-06-15;1;63,0;2:00;8;57;3,50;4,55;1,1;11.350;125
154;2018-06-15;2;65,0;3:00;10;48;3,77;4,88;1,1;5.721;63
154;2018-06-15;1;68,0;1:30;7;23;4,15;4,78;3,5;11.438;400
154;2018-06-15;2;68,0;1:30;9;38;4,15;4,95;3,5;5.826;204
155;2018-06-16;1;43,0;0:00;8;73;4,76;5,22;1,8;11.350;204
155;2018-06-16;2;51,0;0:00;5;79;3,71;4,84;3,0;6.244;187
155;2018-06-16;1;63,0;3:00;6;90;4,78;5,10;2,5;11.526;288
155;2018-06-16;1;65,0;0:00;6;78;4,14;4,80;3,2;11.526;369
155;2018-06-16;2;70,0;2:00;8;23;4,44;4,91;5,5;5.930;326
155;2018-06-16;2;70,0;2:00;8;40;3,95;4,60;3,8;5.930;228
155;2018-06-16;1;63,0;2:00;5;34;4,10;4,95;4,2;11.613;492
156;2018-06-18;1;37,0;0:00;4;54;3,83;4,75;2,1;11.701;243
156;2018-06-18;2;38,0;0:00;5;66;4,00;4,59;6,4;6.244;400
156;2018-06-18;1;63,0;0:00;6;51;3,94;4,80;3,0;11.526;350
156;2018-06-18;2;78,0;1:00;4;54;4,21;4,65;3,7;6.349;234
156;2018-06-18;1;68,0;1:15;10;88;4,30;5,20;3,8;11.174;429
157;2018-06-19;1;38,0;0:00;8;55;4,19;4,80;1,9;11.350;218
157;2018-06-19;2;44,0;0:00;10;43;4,02;4,80;2,6;5.721;146
157;2018-06-19;1;62,0;4:30;5;51;4,36;5,00;1,6;11.613;186
157;2018-06-19;2;66,0;1:10;6;43;4,09;4,70;4,2;6.140;255
157;2018-06-19;2;61,0;1:00;6;68;4,39;5,20;2,2;6.140;133
157;2018-06-19;1;63,0;0:00;12;69;4,41;5,00;6,4;10.998;704
158;2018-06-20;1;39,0;0:00;8;36;3,65;4,60;2,0;11.350;227
158;2018-06-20;2;41,0;0:00;5;60;3,75;5,29;2,9;6.244;180
158;2018-06-20;2;67,0;2:00;8;14;4,10;4,95;4,1;5.930;243
158;2018-06-20;1;72,0;2:00;5;42;4,35;5,03;3,2;11.613;372
158;2018-06-20;2;71,0;2:00;10;20;4,21;5,17;3,6;5.721;206
158;2018-06-20;1;66,0;2:00;6;40;3,80;4,70;2,6;11.526;295
158;2018-06-20;1;55,0;2:00;7;45;4,90;4,90;3,2;11.438;366
158;2018-06-20;2;56,0;2:00;8;68;4,27;4,56;2,4;5.930;142
159;2018-06-21;2;41,0;0:00;8;116;4,10;4,83;4,0;5.930;237
159;2018-06-21;1;64,0;0:50;8;51;4,20;4,80;6,4;11.350;726
160;2018-06-22;2;64,0;0:00;7;43;3,90;5,60;4,2;6.035;253
160;2018-06-22;1;61,0;1:30;8;82;4,10;4,70;4,0;11.350;454
160;2018-06-22;1;68,0;2:00;5;74;4,20;4,80;3,9;11.613;455
161;2018-06-23;1;38,0;0:00;7;67;3,71;4,70;3,1;11.438;355
161;2018-06-23;2;43,0;0:00;6;50;4,30;4,75;5,2;6.140;319
161;2018-06-23;1;66,1;2:30;7;63;3,91;4,51;4,2;11.438;480
161;2018-06-23;2;63,5;2:00;5;59;4,22;4,97;2,7;6.244;169
162;2018-06-24;1;36,0;0:00;6;42;3,85;4,52;4,2;11.526;484
162;2018-06-24;2;40,0;0:00;5;25;4,45;4,87;5,1;6.244;318
162;2018-06-24;2;63,0;2:00;6;40;4,35;4,66;9,2;6.140;565
162;2018-06-24;1;64,0;1:30;4;43;4,12;4,91;4,5;11.701;527
162;2018-06-24;1;65,0;1:00;7;30;4,12;4,62;6,1;11.438;698
163;2018-06-25;1;37,0;0:00;8;66;4,20;4,70;2,7;11.350;309
163;2018-06-25;2;38,0;0:00;7;40;4,12;4,95;1,9;6.035;116
163;2018-06-25;1;64,0;2:00;6;48;4,31;4,88;2,3;11.526;267
163;2018-06-25;2;62,0;1:00;10;51;4,08;5,10;5,2;5.721;298
163;2018-06-25;1;68,0;1:00;8;34;3,89;5,20;5,2;11.350;590
163;2018-06-26;1;42,0;0:00;8;75;3,70;4,50;1,9;11.350;218
